Depth,Cone Resistance,Side Friction,P-wave Velocity
21.700000000000003,5.08,238.1,1.60376816
21.800000000000004,3.42,228.1,1.59777435
21.900000000000002,5.27,264.8,1.59119448
22.000000000000004,3.75,272.6,1.58162572
22.1,2.83,223.7,1.57205697
22.200000000000003,2.72,154.1,1.56248821
22.300000000000004,8.34,266.0,1.55291945
22.400000000000002,3.81,267.6,1.5448847
22.500000000000004,3.75,235.5,1.54251396
22.6,2.59,138.2,1.54014323
22.700000000000003,2.2,112.5,1.53777249
22.800000000000004,2.22,100.0,1.53540175
22.900000000000002,2.6,97.0,1.53523577
23.000000000000004,2.31,92.6,1.54127065
23.1,2.27,87.8,1.54730553
23.200000000000003,1.76,64.9,1.55334041
23.300000000000004,1.79,48.9,1.5593753
23.400000000000002,1.81,52.3,1.56414671
23.500000000000004,2.36,64.2,1.56612522
23.6,2.76,83.2,1.56810372
23.700000000000003,1.52,73.3,1.57008222
23.800000000000004,1.62,45.5,1.57206073
23.900000000000002,1.96,43.6,1.57595963
24.000000000000004,1.73,48.7,1.58326286
24.1,1.76,51.3,1.5905661
24.200000000000003,1.59,55.0,1.59786934
24.300000000000004,1.32,48.3,1.60517258
24.400000000000002,1.16,39.5,1.60938281
24.500000000000004,1.1,31.5,1.60913911
24.6,1.05,30.7,1.60889541
24.700000000000003,1.4,37.9,1.60865171
24.800000000000004,2.02,47.9,1.60840801
24.900000000000002,1.99,56.5,1.60786952
25.000000000000004,2.21,57.4,1.60698362
25.1,2.1,62.1,1.60609771
25.200000000000003,1.9,57.4,1.6052118
25.300000000000004,1.83,49.2,1.60432589
25.400000000000002,1.73,47.0,1.60596392
25.500000000000004,1.84,48.7,1.61004446
25.6,2.32,54.2,1.614125
25.700000000000003,2.28,57.3,1.61820554
25.800000000000004,2.44,67.0,1.62228608
25.900000000000002,2.88,76.2,1.62754818
26.000000000000004,2.89,78.1,1.63374859
26.1,2.85,96.5,1.63994899
26.200000000000003,4.05,159.4,1.6461494
26.300000000000004,5.92,294.6,1.65234981
26.400000000000002,6.09,290.7,1.66143911
26.500000000000004,3.04,174.2,1.6724023
26.6,2.73,102.0,1.6833655
26.700000000000003,4.77,184.0,1.69432869
26.800000000000004,8.42,275.8,1.70529188
